ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0BW4W1P1Q","Advanced Clinicals Tea Tree Oil Serum For Face + Vitamin C Serum + Exfoliating 10% Glycolic Acid Serum Skincare Set | Face Serum For Women | Anti Aging Serums To Brighten  Exfoliate  & Hydrate  3-Set","Advanced Clinicals","Beauty & Personal Care","$80,943.01","2,699","$29.99","$9.02","$20.97","7,139","29","8","4","04/21/2023","Amazon","4.3","9.92"" x 7.36"" x 3.07""","Large standard-size","15.2 lbs"
"B0CV67ZVZD","Advanced Restore Nasal Breathing - Improves Airflow - Comfortable Nose Breathing  Breathing Aids for Better Sleep - Pain Free Removal and Hypoallergenic (120 PCS)","Generic","Health & Household","$43,544.11","1,589","$27.49","$7.42","$20.07","N.A.","24.5","6","1","01/15/2024","Aurulentus store","5","4.92"" x 3.54"" x 0.47""","Small standard-size","1.76 lbs"
"B0789S8139","Advantus Panel Wall Wire Hooks  Silver  25 Hooks per Pack  Sold as 4 Pack (75370)","Advantus","Office Products","$35,517.90","1,410","$25.19","$7.55","$17.64","5,704","6","5","7","12/14/2017","BestSource OfficeSupplies","4.4","8.78"" x 5.51"" x 2.32""","Large standard-size","6.72 lbs"
"B0CTC356JK","Aelfric Eden Y2k Hoodie Women Graphic Oversized Hoodies Star Embroidered Hoodied Sweatshirt Casual Vintage Pullover","Aelfric Eden","Clothing, Shoes & Jewelry","$62,676.75","965","$64.95","$16.83","$48.12","N.A.","32","7","2","01/25/2024","Amazon","4.3","15.20"" x 11.81"" x 1.61""","Large standard-size","1.59 lbs"
"B0846L11QT","Aerosoles Women's Cedar Grove Flat Sandal","Aerosoles","Clothing, Shoes & Jewelry","$32,752.20","780","$40.99","$7.14","$33.85","43,962","24","2","2","01/23/2020","6pm","4.9","3.80"" x 6.50"" x 11.00""","Standard (Large)","1.0494 lbs"
"B09V25X4JL","AESTURA ATOBARRIER365 Cream Set(2.71 Fl Oz + 1.01 Fl Oz)","AESTURA","Beauty & Personal Care","$51,890.17","1,483","$34.99","$9.02","$25.97","22,342","25","6","1","01/26/2024","AESTURA","4.2","6.02"" x 5.35"" x 2.20""","Large standard-size","6.4 lbs"
"B0CV8HX3GZ","AFMAT Electric Pencil Sharpener for Colored Pencils 7-11.5mm  Auto in & Out  Fully Automatic Rechargeable Hands-Free Pencil Sharpener  Blue  RB","AFMAT","Office Products","$184,193.94","4,606","$39.99","$11.14","$28.85","N.A.","17","7","1","12/07/2023","AFMAT OFFICE","4.9","7.99"" x 4.02"" x 3.98""","Large standard-size","1.34 lbs"
"B0CQNVTVV9","Agthyuve Cherry Brown Hair Dye  Hair Dye Shampoo For Men and Women  Hair Color Shampoo For Home Use  Shampoo Para Canas  Hair Dye Shampoo 3 in 1  16.9 Fl Oz (Cherry Brown)","Agthyuve","Beauty & Personal Care","$90,610.23","3,777","$23.99","$8.74","$15.25","N.A.","33.5","6","1","02/06/2024","Agthyuve","3.9","10.04"" x 4.61"" x 3.11""","Large standard-size","1.06 lbs"
"B08H1WH87T","Aibrou Christmas Family Pajamas Matching Sets Striped Cotton Pjs Sleepwear for Kids and Adults","Aibrou","Clothing, Shoes & Jewelry","$63,702.30","1,770","$35.99","$6.12","$29.87","77,523","50","6","1","08/30/2020","ylrus","4.4","5.91"" x 3.94"" x 0.79""","Standard (Large)","0.7716 lbs"
"B0CMZYTX6Z","Aimeiar Kids 100 Days of School Costume for Boys - Halloween Old Man Costume Hat Glasses and Grandpa Vest Set for Child","Aimeiar","Toys & Games","$23,481.30","870","$26.99","$9.86","$17.13","17,817","18","6","1","11/08/2023","Xinbenlai","4.2","11.02"" x 6.29"" x 2.36""","Large standard-size","1.2 lbs"
"B091KVT84P","AIMICO Womens Two Piece Outfits Shorts Sets Summer Workout Sweatsuit With Pockets","AIMICO","Sports & Outdoors","$24,172.20","780","$30.99","$4.65","$26.34","102,575","3","6","1","03/29/2021","AIMICO","5","1.61"" x 12.52"" x 14.69""","Standard (Large)","0.6173 lbs"
"B0C1Y93TRN","Air Compressor Bag Compatible with Milwaukee M18 Inflator 2848-20  Air Pump Carrying Box for Milwaukee Tools Storage Holder for 18V 3.0/4.0/5.0/6.0/6.5/7.0/8.0/9.0Ah Battery (Case Only)-Red","Tanmqin","Tools & Home Improvement","$41,348.68","1,532","$26.99","$7.82","$19.17","6,979","38","7","1","04/09/2023","Amazon","4.6","15.00"" x 6.00"" x 2.00""","Large standard-size","12 lbs"
"B0844PQMYC","Air Monarch IV Regular Width White Silver Navy 415445 102 Men (13)","Nike","Clothing, Shoes & Jewelry","$85,265.10","898","$94.95","$21.27","$73.68","1,234,216","45","5","6","08/30/2020","Belle homes remodel","4.3","15.20"" x 9.80"" x 5.50""","Large standard-size","2.65 lbs"
