ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B09KMGWHQH","adidas Kids Grand Court 2.0 Tennis Shoe - Unisex-Child Sneakers","adidas","Clothing, Shoes & Jewelry","$174,156.45","4,355","$39.99","$11.79","$28.20","778,798","15","6","6","07/31/2022","Zappos","3.6","11.42"" x 8.03"" x 4.29""","Large standard-size","1.39 lbs"
"B09KMJPSXT","adidas Kids Grand Court 2.0 Tennis Shoe - Unisex-Child Sneakers","adidas","Clothing, Shoes & Jewelry","$303,150.00","7,050","$43.00","$10.22","$32.78","1,811","6","6","1","07/31/2022","Amazon Warehouse","5","7.60"" x 5.91"" x 3.43""","Large standard-size","11.36 lbs"
"B09KMGZZ81","adidas Kids Grand Court 2.0 Tennis Shoe - Unisex-Child Sneakers","adidas","Clothing, Shoes & Jewelry","$211,867.02","5,298","$39.99","$11.79","$28.20","2,210","2","6","7","07/31/2022","Zappos","5","11.54"" x 7.68"" x 4.29""","Large standard-size","1.41 lbs"
"B09KMK46ZW","adidas Kids Grand Court 2.0 Tennis Shoe - Unisex-Child Sneakers","adidas","Clothing, Shoes & Jewelry","$377,250.00","7,545","$50.00","$13.29","$36.71","1,579","5","6","5","07/31/2022","ALL4YOU.","4.2","11.57"" x 7.95"" x 4.45""","Large standard-size","1.35 lbs"
"B08LLY6LBX","adidas Kids' Daily 3.0 Skate Shoe","adidas","Clothing, Shoes & Jewelry","$27,075.00","750","$36.10","$5.42","$30.69","9,352","46","2","2","08/21/2018","adidas_official","4.8","4.40"" x 8.50"" x 11.40""","Standard (Large)","1.5895 lbs"
"B09Y7XTYZQ","adidas Men's Adizero Ubersonic 4 Tennis Shoe","adidas","Clothing, Shoes & Jewelry","$67,690.00","967","$70.00","$16.93","$53.07","87,753","39","5","1","04/17/2022","Voadera","4.4","12.60"" x 8.50"" x 4.84""","Large standard-size","1.89 lbs"
"B07H8BWXDG","adidas Men's Climawarm Performance Fleece Pant","adidas","Clothing, Shoes & Jewelry","$40,600.00","1,015","$36.88","$12.61","$24.27","76,139","18.666666666666668","3","1","09/10/2018","Final-Score Athletics","4.3","1.42"" x 9.45"" x 13.62""","Large standard-size","1.0582 lbs"
"B08P6H9KVN","adidas Men's Essentials 3-Stripes Fleece Jogger Pants","adidas","Sports & Outdoors","$45,225.00","1,005","$45.00","$7.65","$37.35","354,965","7","3","1","10/02/2020","Zappos","4.1","1.00"" x 1.00"" x 1.00""","Standard (Large)","1 lbs"
"B0BJ15Z743","adidas Men's Essentials 3-Stripes Shorts","adidas","Clothing, Shoes & Jewelry","$40,338.30","1,590","$25.37","$8.71","$16.66","16,989","43","3","1","10/11/2022","M Emporium","4.3","1.85"" x 10.43"" x 13.30""","Large standard-size","0.5093 lbs"
"B0CQ367RGW","adidas Men's Essentials Pique 3-Stripes Training Shorts","adidas","Clothing, Shoes & Jewelry","$83,304.00","2,136","$33.82","$14.51","$19.31","12,621","2","5","5","08/21/2018","MooreOnlineMercantile","5","14.63"" x 10.75"" x 6.00""","Large standard-size","2.45 lbs"
