ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0BZ884W7L","50 Pcs Reusable Paper Towels Paperless Towels Reusable Cotton Cloths Reusable Toilet Absorbent Washable Paper Towels with Roll Kitchen Dishcloth for Kitchen Paperless Dishcloths (Plaid  Stripe)","Redbaker","Health & Household","$20,323.47","753","$26.99","$9.19","$17.80","32,951","1","7","1","09/07/2023","Arietheqior","5","10.24"" x 5.98"" x 2.95""","Large standard-size","1.28 lbs"
"B0CV7KGJRV","50 Pieces 31 x 70 Inches Disposable Bed Sheets Waterproof Bed Cover Massage Table Sheet Non-woven Fabric for Spa  Beauty Salon  Hotels (Black)","Tatuo","Beauty & Personal Care","$54,967.36","1,864","$29.49","$12.43","$17.06","N.A.","22","7","1","11/29/2022","Amazon","4.15","12.91"" x 12.60"" x 6.85""","Large standard-size","4.21 lbs"
"B0B73XW1KL","500 Colored Lash Extensions D Curl Premade Fans Eyelash Extensions Color Lashes Extension Premade Lash Fans Thin Pre Made Volume Lashes Pointed Base (8D-0.07D  15mm)","FADVAN","Beauty & Personal Care","$33,250.14","1,386","$23.99","$7.14","$16.85","568,163","4","7","1","07/19/2020","Amazon","4.1","3.98"" x 3.90"" x 1.14""","Large standard-size","1.05 lbs"
"B09YPY9XL7","500 Pack 6”x9” Clear FREEZFraud Deposit Bags  Tamper-Evident Security Bank Pocket  Cash register bags by zmybcpack","zmybcpack","Office Products","$36,058.07","1,093","$32.99","$11.68","$21.31","6,659","47","7","1","04/19/2022","Amazon Warehouse","4.5","15.16"" x 8.03"" x 3.07""","Large standard-size","4.66 lbs"
"B09TLJRLFJ","52USA Organic Star Anise  16 Ounce (Pack of 1)  NON-GMO Verified Chinese Star Anise Whole  Dried Star Anise Pods for Tea and baking","52USA","Grocery & Gourmet Food","$53,626.59","1,341","$39.99","$11.79","$28.20","199,829","7","6","3","08/10/2021","Amazon","4.1","11.46"" x 8.54"" x 3.07""","Large standard-size","1 lbs"
"B0CTMC493Z","57Oz MAX Hydrogen Water Bottle  Hydrogen Water Generator with SPE/PEM Technology  Portable Sports Water Bottle  2500PPD Pure Hydrogen Rich Concentration","Dwolm","Tools & Home Improvement","$97,790.22","978","$99.99","$19.52","$80.47","N.A.","30","7","3","12/27/2023","hjbvcd","3.7","5.00"" x 9.00"" x 5.00""","Large standard-size","14.07 lbs"
"B0C33JC62Z","58X CF258X M404dn Toner Cartridge 2-Pack High Yield with Chip Compatible Replacement for HP 58X CF258X 58A CF258A Laserjet Pro M404n M404dn M404dw MFP M428fdw M428fdn M428dw M404 M428 Printer Black","INFITONER","Office Products","$421,277.24","3,292","$127.97","$25.93","$102.04","1,559","36","6","5","04/19/2023","Fabulous ink","4","7.09"" x 7.48"" x 12.40""","Large standard-size","3.3 lbs"
"B07412QWJM","5MP HD USB Portable Document Camera with Built-in Microphone and LED Light Autofocus for Live Demo Web Conferencing Distance Learning Remote Teaching Compatible with Windows (SH5200)","INEBIZ","Electronics","$473,000.00","2,150","$220.00","$20.23","$199.77","N.A.","32","6","2","07/17/2017","Amazon","3.6","13.78"" x 7.87"" x 7.48""","Large standard-size","4.19 lbs"
"B0C7VDVGJZ","6 Pack 10 inch(254mm) Antique Brass Kitchen Cabinet Handles Cabinet Pulls Vintage Drawer Pulls Aged Gold Bronze Kitchen Cabinet Hardware Kitchen Handles Drawer Pulls Dresser Handles","POVEFONK","Tools & Home Improvement","$36,417.25","775","$46.99","$13.48","$33.51","N.A.","26","6","1","10/24/2023","POVEFONK","4.8","12.48"" x 4.10"" x 1.76""","Large standard-size","3.01 lbs"
"B09GXP52XH","6 Pcs 60s 70s Outfits for Women Hippie Costume Set Peace Sign Earring Headband Fringe Vest Tassel Cardigan","Frienda","Clothing, Shoes & Jewelry","$37,659.93","1,507","$24.99","$7.32","$17.67","19,772","16","7","1","09/22/2021","Amazon","4.2","13.39"" x 11.02"" x 0.63""","Small standard-size","7.69 lbs"
"B0BQ9VSJ45","6 Pieces Prom Crowns and Sashes Set Prom King and Queen Tiara Sash for Graduation Costume Party Favors Adults Cosplay Decorations","Hinly","Clothing, Shoes & Jewelry","$38,205.30","1,470","$25.99","$8.94","$17.05","17,652","12","7","1","05/05/2023","Amazon","3.8","8.39"" x 7.64"" x 2.91""","Large standard-size","14.89 lbs"
"B09W5BKHGS","600-Thread-Count Egyptian Cotton Quality Striped Sheet Set - Luxury Queen Damask Bedsheets for Hot Sleepers - Deep Pocket Fitted & Flat Sheets - 4 Piece White Sheets for College Dorm Room Mattress","THREAD SPREAD","Home & Kitchen","$154,817.88","2,212","$69.99","$17.23","$52.76","820,961","9","7","1","03/21/2022","Amazon","3.7","5.16"" x 10.28"" x 12.20""","Large standard-size","4.7091 lbs"
"B0BVB9LJ5N","6000 Pcs Artificial Rose Petal with 120 Pcs Romantic Heart LED Candle Flameless LED Tealight Candle for Valentine's Day (Blue Light)","Coume","Home & Kitchen","$28,612.05","795","$38.99","$12.13","$26.86","61,720","43","6","1","02/08/2023","Amazon","4.6","6.29"" x 11.81"" x 9.05""","Large standard-size","3.57 lbs"
"B0BD4CCZV4","6000 Pcs Artificial Rose Petals with 72 Pcs Flameless LED Candles Romantic Decorations Fake Candles Happy Anniversary Decorations for Romantic Night Valentine's Day (Red)","Coume","Tools & Home Improvement","$32,031.99","801","$39.99","$11.79","$28.20","23,877","31","7","1","09/04/2022","Amazon Warehouse","4.6","0.39"" x 0.39"" x 0.39""","Large standard-size","2.34 lbs"
"B0CDB5VXMH","613 Wear and Go Glueless Wig Precut Lace 4x4 Blonde Glueless Wigs Human Hair Pre Plucked 613 Closure Wigs 180 Density 18inch 613 Straight Lace Front Wigs Human Hair Upgraded No Glue Wig For Beginners","SIYUSI","Beauty & Personal Care","$41,160.00","840","$49.00","$11.12","$37.88","20,814","7","6","1","08/22/2023","Amazon","3.1","14.88"" x 10.31"" x 1.57""","Large standard-size","7.05 lbs"
"B0BTKHR7KF","7 pcs Shungite Sticker for Cell Phone Case Tablet Laptop Computer - Round Dot Healing Energy Shungite Stones Protection Plate with Carbon Fullerenes (Polished  30 mm / 1.18"")","Shungite World","Electronics","$35,560.20","1,455","$25.99","$5.50","$20.49","2,144","50","7","1","07/18/2023","Amazon","4","5.08"" x 3.07"" x 2.24""","Large standard-size","2.4 lbs"
