ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B08LTXKVRV","16 Dual-Tip Acrylic Paint Pens  Both Extra Fine and Medium Tip Paint Markers for Rock Painting  Mugs  Ceramic  Wine Glasses  Wood  Glass  Plastic  Most Surfaces - Water Based Non-Toxic and No Odor","ArtShip Design","Arts, Crafts & Sewing","$47,306.07","1,893","$24.99","$7.29","$17.70","1,497","45","6","1","10/21/2021","Amazon","4.4","1.34"" x 5.28"" x 5.98""","Large standard-size","0.0397 lbs"
"B0CKNB3QKP","16 Gauge 3 Conductor Electrical Wire 50FT  UL 2464 16 AWG 3 Wire Cable Tinned Copper PVC Stranded 16/3 Core Wire for LED Lighting  Outdoor Low Voltage Extension Cable  Automotive etc.","ENERJOUR","Tools & Home Improvement","$26,992.50","750","$35.99","$9.17","$26.82","N.A.","33","7","1","11/12/2023","ZHUWEITHOG","4.8","2.00"" x 2.00"" x 2.00""","Large standard-size","8 lbs"
"B0CSPPNVY2","16 Pack - 7.25"" L x 4"" H x 1.5"" W 5mm Thick Black Hook Brackets  Hook Iron Shelf Brackets  J Bracket  Metal Shelf Bracket  Industrial Shelf Bracket  Modern Shelf Bracket Shelf Supports","MHMYDZ","Tools & Home Improvement","$109,078.95","3,121","$34.95","$15.57","$19.38","2,780","4","7","1","04/01/2023","Amazon Warehouse","5","7.60"" x 1.50"" x 4.00""","Large standard-size","16.29 lbs"
"B0CNP9TMKD","16 Pack Filter Cartridge and 8 Pack Ammonia Reducer Filter Pads for Aqueon  Medium Replacement Cartridges for QuietFlow LED PRO Power Filter Size10/Power Filter Size10/E Internal Power Filter Size20","Pryitier","Pet Supplies","$44,280.18","1,582","$27.99","$9.34","$18.65","N.A.","30","7","1","01/11/2024","AQADMR","4.4","8.07"" x 5.79"" x 4.88""","Large standard-size","1.37 lbs"
"B0CMJ188X7","16 Pack Filter Cartridge for Tetra Whisper Bio-Bag Filters  Medium Replacement Filter Cartridges for Aquariums Compatible with Tetra Whisper Filters 10i / IQ10 / PF10 and 20 Gallons ReptoFilter","Pryitier","Pet Supplies","$23,416.99","901","$25.99","$9.04","$16.95","N.A.","28","7","1","11/02/2023","AQADMR","4.3","9.57"" x 6.14"" x 3.90""","Large standard-size","1.39 lbs"
"B0CKDVJ1Q9","16"" Width Natural Rattan Cane Webbing Roll 12 Feet Length Closed Weave Rattan Fabric Furniture Woven Rattan Sheets for Crafts Cane Weave Rattan Material Natural Chair Caning","LUSYDECO","Home & Kitchen","$72,742.50","750","$96.99","$19.69","$77.30","37,643","30","7","1","11/29/2022","Amazon","4.3","1.00"" x 16.00"" x 1.00""","Large standard-size","1 lbs"
"B0CG46T9ZF","16.4ft Endoscope Camera with Light for iPhone and Android  1920P HD IP67 Waterproof Borescope with 8 Adjustable LED Lights  Semi-Rigid Snake Camera  7.9mm Inspection Camera","MATRIXCAMP","Industrial & Scientific","$28,744.94","1,106","$25.99","$6.89","$19.10","5,215","40","6","1","08/28/2023","Amazon","4.2","4.72"" x 4.72"" x 1.46""","Large standard-size","6.74 lbs"
"B0CMXC6RRQ","160 000LM Brightest 10 Kind Modes Headlamp Red Blue Warning & Energy Saving  90H Battery Standby & Zoom LED Head Lamp  IP68 Waterproof & 90°Adjustable Head light for Outdoor Camping Hiking Hunting","TIROFLX","Tools & Home Improvement","$31,131.35","865","$35.99","$9.17","$26.82","10,251","31","8","1","01/10/2024","Derewalt Inc","4.1","4.00"" x 4.00"" x 3.00""","Large standard-size","11.2 lbs"
"B07T66DJLK","1791's lady Women's Victorian Rococo Dress Inspiration Maiden Costume NQ0032 (L:Height65-67 Chest38.5-40"" Waist30.5-32""  Yellow)","1791's lady","Clothing, Shoes & Jewelry","$204,120.00","1,890","$108.00","$25.34","$82.66","13,216","4","4","2","07/17/2017","Amazon","3.3","11.97"" x 9.37"" x 3.98""","Large standard-size","2.27 lbs"
"B0CG71K357","187 Killer Pads Skateboarding Knee Pads  Elbow Pads  and Wrist Guards","187 KILLER PADS","Sports & Outdoors","$63,391.20","866","$51.85","$20.71","$31.13","6,034","25","5","1","08/28/2016","Amazon Warehouse","4.725","17.05"" x 13.39"" x 3.98""","Large standard-size","0.71 kg"
