ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0BRDF4K6Y",""" OCCASIONS "" 50 Plates Pack (25 Guests)-Heavyweight Wedding Party Disposable Plastic Plate Set -(25x10.5'' Dinner + 25x8'' Salad/dessert (Imperial in White/Baby Blue & Silver)","OCCASIONS FINEST PLASTIC TABLEWARE","Health & Household","$42,213.60","1,144","$36.90","$12.26","$24.63","20,054","50","6","3","05/24/2021","Amazon Warehouse","4.5","11.27"" x 10.94"" x 2.72""","Large standard-size","4.52 lbs"
"B072HQQRG5","#4/27 Clip in 100% Remy Human Hair Extensions 8""-24"" Grade 7A Quality Full Head 8pcs 18clips Long Soft Silky Straight for Women Fashion 20"" / 20 inch 105g Medium brown mix Dark Blonde","MY-LADY","Beauty & Personal Care","$86,967.60","1,380","$63.02","$12.52","$50.50","13,688","2","6","1","09/11/2018","sexy baby","2.4","11.60"" x 8.40"" x 0.70""","Small standard-size","7.2 lbs"
"B06WLKPK1B","'47 Brand Adjustable Cap - Clean UP New York Yankees Hemlock","'47","Sports & Outdoors","$269,599.68","9,632","$27.99","$7.74","$20.25","79,047","32","4","1","04/11/2017","Amazon","4.8","8.98"" x 7.56"" x 2.95""","Large standard-size","3.21 lbs"
"B07DMW1K9H","'47 Brand Adjustable Cap - Clean UP NY Yankees Orchid Pink","'47","Sports & Outdoors","$949,938.00","24,420","$38.90","$9.38","$29.53","28","11","4","2","06/08/2018","Sports Evergreen","4.4","7.00"" x 6.00"" x 4.00""","Large standard-size","3.53 lbs"
"B0BXZL97FR","'47 Brand Chicago Cubs Royal Blue Clean Up Adjustable Snapback Cap","'47","Sports & Outdoors","$453,575.37","12,963","$34.99","$8.79","$26.20","93","2","4","2","03/08/2023","Amazin Group","5","8.35"" x 7.05"" x 4.06""","Large standard-size","3.84 lbs"
"B0C6V4WF6B","'47 Brand Los Angeles Dodgers Adjustable Clean Up Cap  White/White","'47","Sports & Outdoors","$311,007.34","10,157","$30.62","$8.13","$22.49","39,400","4","4","4","05/31/2023","FanTimes","5","7.83"" x 7.68"" x 2.80""","Large standard-size","3.21 lbs"
"B074CFCZGL","'47 Brand MLB NY Yankees Clean up Cap - Mako","'47","Sports & Outdoors","$296,934.75","9,981","$29.75","$8.00","$21.75","585,427","28","4","4","07/27/2017","FanWear","4.6","8.00"" x 6.00"" x 1.30""","Large standard-size","2.82 lbs"
"B0B5VTKT7J","'47 Kansas City Royals Blue Clean Up Adjustable Hat  Adult One Size Fits All","'47","Sports & Outdoors","$81,366.93","2,907","$27.99","$7.74","$20.25","206,663","13","4","2","07/04/2022","Amazon","3.9","4.00"" x 4.00"" x 2.00""","Large standard-size","3.42 lbs"
"B09V88D931","'47 Los Angeles Dodgers Clean Up Dad Hat Baseball Cap - Charcoal","'47","Sports & Outdoors","$349,486.00","10,279","$34.00","$8.64","$25.36","117,603","12","4","3","03/08/2022","HAS BRANDS","4.4","8.00"" x 6.00"" x 1.30""","Large standard-size","3.21 lbs"
"B09VB53MQ6","'47 Los Angeles Dodgers Clean Up Dad Hat Baseball Cap - Gold","'47","Sports & Outdoors","$93,713.00","3,100","$30.23","$8.07","$22.16","174,509","7","4","5","03/08/2022","Amazin Group","5","8.23"" x 7.05"" x 2.95""","Large standard-size","2.4 lbs"
"B08PB148WN","'47 Los Angeles Dodgers Clean Up Dad Hat Baseball Cap - Navy","'47","Sports & Outdoors","$361,435.20","10,416","$34.70","$8.75","$25.96","118,192","42","4","4","03/08/2022","BSD Fragrances","4.5","8.00"" x 6.00"" x 1.30""","Large standard-size","3.21 lbs"
"B07WPDKPC9","'47 Los Angeles Dodgers Clean Up Dad Hat Baseball Cap - White/Royal","'47","Sports & Outdoors","$325,327.68","10,224","$31.82","$8.31","$23.51","141,858","12","4","9","03/08/2022","Voadera","4.6","9.17"" x 8.03"" x 3.82""","Large standard-size","3.35 lbs"
"B0CMV49QST","'47 MLB Alternate Clean Up Adjustable Hat  Adult","'47","Sports & Outdoors","$121,140.24","3,346","$36.99","$9.09","$27.90","N.A.","26.25","3","2","11/06/2023","Amazon","4.075","4.00"" x 4.00"" x 2.00""","Large standard-size","4 lbs"
"B0BRQV9B2V","'47 MLB Black White Clean Up Adjustable Hat Cap  Adult One Size (Baltimore Orioles Black White)","'47","Sports & Outdoors","$52,155.90","1,410","$36.99","$9.09","$27.90","207,405","10","4","3","01/04/2023","FanWear","4.4","8.03"" x 7.24"" x 2.24""","Large standard-size","3.53 lbs"
"B0BSVM7BKL","'47 MLB Black White Clean Up Adjustable Hat Cap  Adult One Size (Colorado Rockies Black White)","'47","Sports & Outdoors","$71,196.26","2,374","$29.99","$8.04","$21.95","277,285","3","4","4","01/22/2023","Sports Guaranteed","5","7.36"" x 5.59"" x 1.26""","Large standard-size","3.21 lbs"
"B0BYGLRGDV","'47 MLB Black White Clean Up Adjustable Hat Cap  Adult One Size (Houston Astros Black White)","'47","Sports & Outdoors","$94,285.42","2,858","$32.99","$8.49","$24.50","1,209","13","4","6","03/13/2023","Prime on Fashion","4.8","4.00"" x 4.00"" x 2.00""","Large standard-size","3.21 lbs"
"B0CGCB64YL","'47 MLB Black White Clean Up Adjustable Hat Cap  Adult One Size (Los Angeles Angels Black White)","'47","Sports & Outdoors","$95,878.08","2,592","$36.99","$9.09","$27.90","2,003","2","5","2","01/01/2023","Amazon","5","8.35"" x 7.80"" x 2.68""","Large standard-size","2.89 lbs"
"B0C5S83CWF","'47 MLB Black White Clean Up Adjustable Hat Cap  Adult One Size (Tampa Bay Rays Black White)","'47","Sports & Outdoors","$101,645.95","2,905","$34.99","$8.79","$26.20","1,209","1","4","2","05/18/2023","FanWear","5","8.35"" x 7.80"" x 2.68""","Large standard-size","2.89 lbs"
"B0BY34SBNT","'47 MLB Black White MVP Adjustable Hat  Adult One Size Fits All","'47","Sports & Outdoors","$82,315.33","2,467","$33.49","$8.04","$25.45","N.A.","6","4","1","03/09/2023","Amazon","4.8","4.00"" x 4.00"" x 3.00""","Large standard-size","3.67 lbs"
