opportunity,asin,brand,category,price,reviews_number,date_first_available,rating
soto clothing,B08HRWQJ3Z,BTFBM,"Clothing, Shoes & Jewelry",31.99,11737,08/21/2019,4.3
soto clothing,B083ZZ5W9C,Tout Wear Minnesota,Sports & Outdoors,31.99,8,01/16/2020,4.7
soto clothing,B083ZYNB86,Tout Wear Minnesota,Sports & Outdoors,19.99,2,01/16/2020,3.9
soto clothing,B083ZYS91Z,Tout Wear Minnesota,Sports & Outdoors,29.99,1,01/16/2020,4.0
soto clothing,B07PWWYMMX,Ax and Ave Tees,Sports & Outdoors,35.99,4,05/31/2018,5.0
soto clothing,B07PRFZQ2J,Ax and Ave Tees,Sports & Outdoors,33.99,15,05/31/2018,4.7
soto clothing,B0BHQWFVHH,Liwitar,"Clothing, Shoes & Jewelry",35.99,95,10/08/2022,4.2
soto clothing,B07P3NKT8Y,Minnesota Love Tee Shirts,"Clothing, Shoes & Jewelry",19.99,2,09/26/2017,5.0
